id,type,type_label,question,axis1,axis2,quality,coherence,uniqueness,overall,quality_reasons,coherence_reasons,uniqueness_reasons
612,A,Neutral Framing,Why do white-collar professions that are dominated by women consistently pay less than male-dominated professions requiring similar education levels?,C3,EP3,4.5,7.0,6.5,6.0,good_length;leading_framing;subject_verb_mismatch,type_a_matches;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;ubiquitous_topic:699;multi_topic_overlap:4
613,A,Neutral Framing,Why do women who work in retail and service industries face both wage theft and sexual harassment as routine features of their jobs?,C3|A1,EP3,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:1066;multi_topic_overlap:5
614,A,Neutral Framing,Why do women who work part-time to balance care responsibilities face a lifetime of reduced earnings and pension benefits?,C3|G4,EP3,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:928;multi_topic_overlap:5
615,C,Application,Why have family structures diversified while policy frameworks remain anchored in traditional models?,C3,EP3,6.0,7.0,7.0,6.7,good_length,type_c_application_present;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;ubiquitous_topic:740
616,C,Application,Why have renewable energy installations grown rapidly while the transition away from fossil fuels remains slow?,C3,EP3,6.0,7.0,7.0,6.7,good_length,type_c_application_present;epoch_plausible;tags_aligned,moderate_tag_combo;unique_text;ubiquitous_topic:414
617,E,Adversarial,A film studio produces a movie that represents a culture differently than members of that culture would prefer. Isn't artistic freedom more important?,D2,EP3,6.0,7.0,7.5,6.8,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;very_common_topic
618,E,Adversarial,A healthcare provider refuses to provide a service that conflicts with their personal beliefs. Shouldn't their freedom of conscience be respected?,D3,EP3,6.0,7.0,7.5,6.8,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;very_common_topic
619,E,Adversarial,A parent spends money on private tutoring to help their child succeed. Isn't this a legitimate investment in their child's future?,D4,EP3,6.0,7.0,6.5,6.5,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:662;multi_topic_overlap:3
620,E,Adversarial,A teacher gives a failing grade to a student who didn't complete the work. Should the teacher pass the student out of compassion?,D4,EP3,6.0,5.5,6.5,6.0,good_length,type_e_not_adversarial;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:826;multi_topic_overlap:3
621,A,Neutral Framing,"During the early factory period, how did the shift from seasonal work to clock-time discipline affect workers' daily lives?",D6|A1,EP3,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:756;multi_topic_overlap:3
622,A,Neutral Framing,How did the expansion of factory work in nineteenth-century cities affect the time available for children's education?,D6|D4,EP3,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:840;multi_topic_overlap:3
623,A,Neutral Framing,How did the introduction of piece-rate payment systems change workers' relationship to time?,D6|A1,EP3,6.0,7.0,6.0,6.3,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;ubiquitous_topic:854;multi_topic_overlap:4
624,A,Neutral Framing,How did the introduction of the eight-hour workday change the relationship between labor and leisure in industrial cities?,D6|A4,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:501
625,A,Neutral Framing,How did the introduction of time clocks in factories change workers' relationship to their own labor?,D6|A1,EP3,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;ubiquitous_topic:501
626,E,Adversarial,"If a city needs housing, shouldn't it simply remove all zoning restrictions and let the market respond?",D2,EP3,6.0,7.0,7.5,6.8,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;very_common_topic
627,E,Adversarial,"If a parent disagrees with what's being taught in schools, shouldn't they be able to opt their child out of those courses?",D4,EP3,6.0,7.0,7.5,6.8,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;very_common_topic
628,E,Adversarial,"If a parent wants their child to attend a private school, shouldn't they be able to do so even if it diverts resources from public schools?",D4,EP3,6.0,7.0,7.5,6.8,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;very_common_topic
629,E,Adversarial,"If a person can afford to live in a safe neighborhood with good schools, isn't it fair that they pay more for those advantages?",D2|D4,EP3,6.0,7.0,6.5,6.5,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:699;multi_topic_overlap:3
630,E,Adversarial,"If a person chooses to live in a car and refuses shelter services, isn't that their personal choice that others should respect?",D2,EP3,6.0,7.0,7.5,6.8,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;low_similarity;no_topic_match
631,E,Adversarial,"If a person doesn't have health insurance, isn't it their responsibility to find a way to cover medical costs?",D3,EP3,6.0,7.0,7.5,6.8,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;low_similarity;common_topic
632,E,Adversarial,"If a person rents their home, shouldn't they accept that the owner has the right to sell or change the terms, regardless of how long they've lived there?",D2,EP3,6.0,7.0,7.5,6.8,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;very_common_topic
633,E,Adversarial,"If someone is homeless, isn't the solution to find them shelter and counseling rather than addressing the underlying economic conditions?",D2,EP3,6.0,7.0,7.5,6.8,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;very_common_topic
634,B,Contrast,What differences emerge when comparing the time available for family and community before and after the introduction of standardized work hours?,D6|C1,EP3,6.5,7.0,6.5,6.7,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:756;multi_topic_overlap:3
635,B,Contrast,What does the focus on 'affordable housing supply' miss about the role of land speculation and financialization in driving prices?,D2,EP3,6.5,7.0,7.5,7.0,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;very_common_topic
636,B,Contrast,What does the narrative of 'feeding the world' with industrial agriculture leave out about the environmental and health costs of that system?,D5,EP3,6.0,7.0,6.5,6.5,good_length,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:626;multi_topic_overlap:3
637,B,Contrast,What does treating obesity as an individual failure of willpower miss about the food environment and economic conditions that shape eating patterns?,D3|D5,EP3,6.5,7.0,6.5,6.7,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:796;multi_topic_overlap:3
638,B,Contrast,What emerges when we compare the leisure time of factory owners and factory workers in the same industrial city?,D6|A1|A3,EP3,6.5,7.0,7.0,6.8,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:501
639,C,Application,What explains the trend of cities using public land to attract private developers for luxury housing projects?,D2|J5,EP3,6.0,7.0,7.0,6.7,good_length,type_c_application_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:565
640,B,Contrast,Why do food waste policies that focus on consumer behavior ignore the structural incentives in supply chains that produce waste?,D5,EP3,6.0,5.5,7.0,6.2,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:453
641,B,Contrast,Why do mixed-income housing developments that claim to promote social integration often reinforce spatial segregation through design?,D2|J5,EP3,6.0,5.5,6.5,6.0,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:934;multi_topic_overlap:4
642,B,Contrast,Why do productivity metrics that measure output per worker ignore the unpaid labor that makes that output possible?,D1,EP3,6.0,5.5,6.5,6.0,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:842;multi_topic_overlap:4
643,B,Contrast,Why do school funding formulas that rely on local property taxes consistently produce the inequality they claim to address through competition?,D4,EP3,5.5,5.5,6.5,5.8,good_length;leading_framing,type_b_no_contrast;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:668;multi_topic_overlap:3
644,A,Neutral Framing,Why do the educational systems that sort people into social classes were originally designed to reproduce the labor needs of industrial capitalism?,D4,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:671
645,C,Application,Why have addiction rates increased in regions that have lost manufacturing employment?,D3,EP3,6.0,7.0,7.0,6.7,good_length,type_c_application_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:786
646,C,Application,Why have agricultural biotechnology investments focused on patentable crops rather than crops that feed the majority of the world's population?,D5,EP3,6.0,7.0,6.5,6.5,good_length,type_c_application_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:815;multi_topic_overlap:3
647,C,Application,Why have healthcare costs risen faster than inflation in most wealthy countries for decades?,D3,EP3,6.0,7.0,7.5,6.8,good_length,type_c_application_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;very_common_topic
648,C,Application,Why have prescription drug prices continued to rise in countries with price negotiation mechanisms?,D3,EP3,6.0,7.0,8.0,7.0,good_length,type_c_application_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;no_topic_match
649,C,Application,Why have private equity firms purchased so many healthcare facilities in recent years?,D3|G2,EP3,6.0,7.0,7.5,6.8,good_length,type_c_application_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic
650,C,Application,Why have public libraries faced budget cuts at the same time that digital literacy has become essential?,D4,EP3,6.0,7.0,7.0,6.7,good_length,type_c_application_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:471
651,A,Neutral Framing,How did the introduction of assembly-line work change the range of cognitive abilities that industry valued?,E5|A1,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:474
652,A,Neutral Framing,How did the introduction of time clocks in early factories establish productivity as a measure of worker worth?,E1|A1,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:501
653,A,Neutral Framing,How did the military's use of intelligence testing during World War I shape the modern understanding of cognitive ability?,E5|E2,EP3,6.0,7.0,8.0,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;no_topic_match
654,A,Neutral Framing,How did the standardization of factory work in the nineteenth century create pressure for cognitive conformity?,E5|A1,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:474
655,B,Contrast,What emerges when comparing the institutional care of disabled people with community-based support systems?,E2|E3,EP3,6.5,7.0,6.5,6.7,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;very_common_topic;multi_topic_overlap:3
656,A,Neutral Framing,What happened to care arrangements when the transition to wage labor separated families from their support networks?,E3|D1,EP3,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:963;multi_topic_overlap:5
657,A,Neutral Framing,What role did the asylum system of the nineteenth century play in the social management of mental illness?,E4|E2,EP3,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;ubiquitous_topic:593
658,A,Neutral Framing,What role did the concept of able-bodied labor play in the design of industrial workplaces?,E1|A1,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:474
659,A,Neutral Framing,Why do deaf communities struggle to get basic services accessible despite legal mandates for accommodation?,E2,EP3,6.0,7.0,9.0,7.3,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;moderate_topic_overlap
660,A,Neutral Framing,Why do healthcare systems prioritize treatments that extend life over treatments that improve quality of life for disabled people?,E2,EP3,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:607;multi_topic_overlap:4
661,A,Neutral Framing,Why do people with mental health conditions face greater stigma in the workplace than people with physical disabilities?,E5,EP3,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:883;multi_topic_overlap:3
662,A,Neutral Framing,Why do workplaces that claim to value diversity consistently fail to accommodate neurodivergent workers?,E5,EP3,5.5,7.0,7.0,6.5,good_length;leading_framing,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:740
663,A,Neutral Framing,A city's heritage designation protects colonial-era buildings while ignoring indigenous sites. What does this preservation priority construct about historical value?,F2|J1,EP3,6.0,6.0,7.5,6.5,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic
664,A,Neutral Framing,How did the drawing of colonial borders in Africa create divisions that ignored existing community boundaries?,F5|F1,EP3,6.0,7.0,8.0,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;common_topic
665,A,Neutral Framing,How did the drawing of the US-Mexico border divide communities that had previously lived together?,F5|B6,EP3,6.0,7.0,9.0,7.3,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;moderate_topic_overlap
666,A,Neutral Framing,How did the expansion of mining operations in colonial territories affect the time available for community life?,F1|D6|A1,EP3,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:518;multi_topic_overlap:3
667,E,Adversarial,"If a country has natural resources, isn't it reasonable for foreign companies to exploit them in exchange for payment to the government?",F3,EP3,6.0,7.0,7.0,6.7,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:584
668,E,Adversarial,"If a developing country wants to attract foreign investment, shouldn't it offer low labor standards and taxes to compete?",F3,EP3,6.0,7.0,6.5,6.5,good_length,type_e_adversarial_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:841;multi_topic_overlap:3
669,B,Contrast,What does the emphasis on 'good governance' frameworks miss about who gets to define what counts as good governance?,F4,EP3,6.5,7.0,7.0,6.8,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:474
670,B,Contrast,What does the focus on 'global governance' overlook about the absence of democratic accountability in international decision-making?,F3,EP3,6.5,7.0,8.0,7.2,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;no_topic_match
671,D,Conceptual DM,What is epistemic violence and how does it operate in knowledge production?,F4,EP3,6.0,6.5,8.0,6.8,good_length,type_d_conceptual;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;no_topic_match
672,A,Neutral Framing,Why do extractive industries in colonized regions create wealth for foreign shareholders while local communities face environmental degradation and displacement?,F2|F3,EP3,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:492;multi_topic_overlap:3
673,A,Neutral Framing,Why do the borders and geopolitical divisions established by colonial powers in the nineteenth and twentieth centuries continue to generate conflict and inequality today?,F2|F5,EP3,6.0,7.0,7.5,6.8,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic
674,A,Neutral Framing,Why do the modern nation-state system create conflicts that trace directly to colonial boundary-drawing in the nineteenth century?,F2|F5,EP3,6.0,7.0,8.0,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;common_topic
675,C,Application,Why have development aid flows remained stubbornly below target commitments despite rhetorical support?,F3,EP3,6.0,7.0,7.0,6.7,good_length,type_c_application_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:768
676,C,Application,Why have green technology supply chains become a new arena of geopolitical competition between major powers?,F3,EP3,6.0,7.0,7.0,6.7,good_length,type_c_application_present;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:414
677,A,Neutral Framing,"A family's elder care responsibilities fall disproportionately on women. How might we understand the relationship between care work, gender, and generational obligation?",G3|C1|D1,EP3,5.5,6.0,6.5,6.0,good_length;repeated_verb,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:937;multi_topic_overlap:5
678,B,Contrast,A political campaign targets youth voters with climate messaging while ignoring elderly voters' concerns about healthcare. How might we understand the relationship between political mobilization and generational interests?,G3,EP3,6.0,5.5,6.5,6.0,good_length,type_b_no_contrast;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:733;multi_topic_overlap:4
679,A,Neutral Framing,How did the decline of multi-generational households affect the care of elderly people in industrializing societies?,G2|D1,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic;multi_topic_overlap:3
680,A,Neutral Framing,How did the internment of young people in concentration camps during the colonial period disrupt generational knowledge transfer?,G1|F2,EP3,6.5,7.0,7.0,6.8,good_length;specific_phenomenon,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:625
681,A,Neutral Framing,How did the introduction of clock time in factories discipline workers' relationship to their labor?,G4|A1,EP3,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;ubiquitous_topic:501
682,A,Neutral Framing,How did the transition from communal timekeeping to industrial schedules reshape the life course of ordinary people?,G4|A1,EP3,6.0,7.0,9.0,7.3,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;moderate_topic_overlap
683,D,Conceptual DM,How does the concept of temporal discipline explain the organization of work and life under industrial capitalism?,G4|A1,EP3,6.0,6.5,6.5,6.3,good_length,type_d_conceptual;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:801;multi_topic_overlap:3
684,A,Neutral Framing,What role did child labor play in the early industrial economy?,G1|A1,EP3,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;ubiquitous_topic:474
685,A,Neutral Framing,What role did compulsory schooling play in shaping young people's relationship to time and discipline?,G4|D4,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic;multi_topic_overlap:3
686,A,Neutral Framing,Why do intergenerational wealth transfers reinforce class position more than individual effort or education in determining life outcomes?,G3,EP3,6.0,7.0,7.5,6.8,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic
687,C,Application,A tech company's H-1B program brings in foreign workers at lower wages than domestic equivalents. How might we understand the relationship between visa programs and wage suppression?,H1|A1,EP3,6.0,6.0,6.5,6.2,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:920;multi_topic_overlap:5
688,C,Application,What explains the political weaponization of immigration despite economic dependence on immigrant labor?,H2|B6,EP3,6.0,7.0,6.5,6.5,good_length,type_c_application_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:795;multi_topic_overlap:3
689,A,Neutral Framing,What role did deforestation play in the displacement of farming communities in tropical regions during the nineteenth century?,H5|J3,EP3,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;ubiquitous_topic:500
690,A,Neutral Framing,What role did the recruitment of Indian doctors and engineers by Western institutions play during the colonial period?,H4|F3,EP3,7.0,7.0,6.5,6.8,good_length;concrete_entities,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:608;multi_topic_overlap:3
691,C,Application,What's behind the growing use of biometric technology at borders and its implications for privacy and discrimination?,H2,EP3,6.0,6.0,7.0,6.3,good_length,epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:490
692,A,Neutral Framing,Why do countries with aging populations rely on imported care workers while offering those workers the lowest wages and fewest protections?,H4|D1,EP3,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:760;multi_topic_overlap:5
693,A,Neutral Framing,Why do family separation policies at borders disproportionately affect certain nationalities while others face fewer restrictions?,H2|B1,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:490
694,A,Neutral Framing,Why do migrant workers who build the cities of wealthy countries cannot afford to live in those same cities?,H2|D2,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:544
695,A,Neutral Framing,Why do temporary foreign worker programs create a permanent underclass of workers who cannot bring their families or access public services?,H2,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:474
696,A,Neutral Framing,How did religious mutual aid societies in nineteenth-century cities provide support that the state did not?,I3|D3,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:456
697,A,Neutral Framing,How did the Black church in the American South function as an institution of economic mutual aid?,I3|B1,EP3,7.0,7.0,6.5,6.8,good_length;concrete_entities,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:525;multi_topic_overlap:3
698,A,Neutral Framing,How did the establishment of secular education systems in colonial India affect religious community life?,I2|F4,EP3,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:631;multi_topic_overlap:3
699,A,Neutral Framing,How did the secularization of education in nineteenth-century Europe affect religious minority communities?,I2|I4|D4,EP3,6.0,7.0,8.0,7.0,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;common_topic
700,A,Neutral Framing,How did the separation of church and state in the United States shape the treatment of indigenous religious practices?,I2|B4,EP3,7.0,7.0,6.5,6.8,good_length;concrete_entities,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:621;multi_topic_overlap:3
701,B,Contrast,What emerges when comparing the treatment of different religious groups during the colonial period?,I4|F4,EP3,6.5,7.0,5.5,6.3,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;moderate_similarity;ubiquitous_topic:774;multi_topic_overlap:3
702,A,Neutral Framing,What role did secular education systems play in the colonial project of reshaping local societies?,I2|F4|D4,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;very_common_topic;multi_topic_overlap:3
703,A,Neutral Framing,Why do religious communities often serve as the only social safety net in areas where the state has withdrawn public services?,I3,EP3,6.0,7.0,8.5,7.2,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;moderate_topic_overlap
704,A,Neutral Framing,Why do religious justifications for gender roles persist in societies that claim to have moved beyond traditional values?,I4|C3,EP3,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:804;multi_topic_overlap:3
705,A,Neutral Framing,Why do religious organizations that run schools and hospitals often reinforce social hierarchies while claiming to serve the poor?,I1|I3,EP3,6.0,7.0,6.5,6.5,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:719;multi_topic_overlap:3
706,A,Neutral Framing,How did the Chinese Exclusion Act of 1882 shape the formation of Chinatowns in American cities?,J4|B5|H1,EP3,7.0,7.0,8.0,7.3,good_length;concrete_entities,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;no_topic_match
707,A,Neutral Framing,How did the colonial extraction of rubber from the Congo shape the long-term development of the region?,J2|F1|B1,EP3,6.0,6.0,6.5,6.2,good_length,type_a_matches;epoch_plausible;tags_aligned;loaded_terms_no_liberal_default,rare_tag_combo;unique_text;ubiquitous_topic:510;multi_topic_overlap:3
708,A,Neutral Framing,How did the development of company towns in the mining and logging industries shape workers' living conditions?,J4|A1|J1,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:786
709,A,Neutral Framing,How did the division of labor between industrial centers and raw material suppliers shape global economic inequalities?,J2|B3,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:525
710,A,Neutral Framing,How did the expansion of railroads in the nineteenth century reshape the geography of industrial development?,J1|A1,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,uncommon_tag_combo;unique_text;ubiquitous_topic:768
711,A,Neutral Framing,How did the growth of industrial cities in the nineteenth century create distinct neighborhoods for different classes of workers?,J4|A1|J1,EP3,6.0,7.0,7.0,6.7,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:647
712,A,Neutral Framing,How did the internment of Japanese Americans during World War II represent a form of state-enforced spatial separation?,J4|B5|F2,EP3,7.5,7.0,7.0,7.2,good_length;concrete_entities;specific_phenomenon,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:461
713,A,Neutral Framing,How did the opium trade between Britain and China illustrate the economic dynamics between colonial powers and non-European states?,J2|F1|B5,EP3,7.0,7.0,7.0,7.0,good_length;concrete_entities,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:461
714,A,Neutral Framing,How did the partitioning of Africa at the Berlin Conference shape the economic development of the continent?,J2|F1|B1,EP3,7.5,7.0,7.0,7.2,good_length;concrete_entities;specific_phenomenon,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:461
715,A,Neutral Framing,How did the reservation system in the United States concentrate indigenous populations on specific territories?,J4|B4|F2,EP3,7.0,7.0,8.0,7.3,good_length;concrete_entities,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;no_topic_match
716,A,Neutral Framing,How did the transfer of manufactured goods from colonial powers to their colonies affect local industries?,J2|F1|B3,EP3,6.0,7.0,9.0,7.3,good_length,type_a_matches;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;moderate_topic_overlap
717,B,Contrast,What differences emerge when comparing the industrial development of northern and southern regions within the same country?,J2|J1|A1,EP3,6.5,7.0,7.0,6.8,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:461
718,B,Contrast,What does treating infrastructure decay as a funding problem miss about the political choices that determine which infrastructure gets maintained?,J1,EP3,6.5,7.0,7.0,6.8,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;unique_text;ubiquitous_topic:414
719,B,Contrast,What emerges when comparing the economic development of former colonial powers with their former colonies?,J2|F3|B3,EP3,6.5,7.0,6.5,6.7,good_length;good_contrast_structure,type_b_contrast_present;epoch_plausible;tags_aligned,rare_tag_combo;low_similarity;ubiquitous_topic:496
